fouls_home,fouls_away,corners_home,corners_away,crosses_home,crosses_away,touches_home,touches_away,tackles_home,tackles_away,interceptions_home,interceptions_away,aerials_won_home,aerials_won_away,clearances_home,clearances_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,long_balls_home,long_balls_away,home_team,away_team,home_score,away_score,stadium,state,UF,matchweek,date,time,match_id
10,15,6,5,27,19,513,586,7,12,12,9,15,14,20,14,1,2,8,6,10,18,41,31,Fortaleza,Cruzeiro,2,1,,,,9,2019-06-12,21:00,80
11,7,3,3,10,16,684,777,22,12,11,6,23,23,16,12,1,0,10,7,15,24,68,52,Internacional,Bahia,3,1,,,,9,2019-06-12,21:30,81
16,13,2,3,14,12,663,640,21,25,13,13,22,19,17,31,2,1,1,10,22,31,56,60,Santos,Corinthians,1,0,,,,9,2019-06-12,21:30,82
13,10,3,12,9,33,449,712,12,10,8,12,18,29,40,11,1,2,20,3,14,17,50,27,CSA,Flamengo,0,2,,,,9,2019-06-12,21:30,83
14,15,5,1,15,13,677,628,15,16,17,13,19,21,8,16,2,3,5,6,23,19,58,40,Vasco da Gama,Ceará,1,0,,,,9,2019-06-13,19:15,84
13,8,3,7,9,31,472,805,16,13,9,8,12,11,29,12,1,2,13,13,21,25,76,47,Goiás,Atl Paranaense,2,1,,,,9,2019-06-13,20:00,85
12,21,5,3,16,15,456,702,15,11,11,6,13,12,13,10,1,1,7,11,13,13,54,35,Chapecoense,Fluminense,1,1,,,,9,2019-06-13,20:00,86
13,17,12,5,20,16,929,516,22,15,9,10,20,9,17,20,1,0,4,14,26,15,59,37,Atlético Mineiro,São Paulo,1,1,,,,9,2019-06-13,20:00,87
13,18,9,1,17,15,629,600,22,23,6,16,33,13,17,25,1,1,8,6,26,28,60,42,Palmeiras,Avaí,2,0,,,,9,2019-06-13,20:00,88
15,12,5,13,11,28,561,718,18,15,9,8,22,8,34,11,0,1,9,6,20,26,47,41,Fortaleza,Avaí,2,0,,,,10,2019-07-13,17:00,89
18,12,4,6,19,12,819,439,15,20,9,11,16,13,17,25,2,1,3,8,24,22,51,49,Grêmio,Vasco da Gama,2,1,,,,10,2019-07-13,17:00,90
19,18,8,5,14,19,541,600,13,19,9,7,24,19,22,9,0,4,6,4,16,24,45,55,São Paulo,Palmeiras,1,1,,,,10,2019-07-13,19:00,91
14,11,5,7,17,15,480,707,10,9,5,13,19,33,26,14,1,1,14,4,21,21,65,56,Bahia,Santos,0,1,,,,10,2019-07-13,19:00,92
8,9,11,1,26,7,730,364,18,21,7,13,21,11,5,17,0,3,7,13,13,17,21,54,Flamengo,Goiás,6,1,,,,10,2019-07-14,11:00,93
2,18,16,1,43,3,764,468,11,17,7,11,21,21,10,35,1,0,3,11,22,15,34,58,Corinthians,CSA,1,0,,,,10,2019-07-14,16:00,94
15,16,6,2,22,14,641,490,7,15,8,13,10,24,9,35,2,3,9,11,20,20,60,53,Atl Paranaense,Internacional,1,0,,,,10,2019-07-14,16:00,95
11,8,5,3,27,11,608,779,7,13,17,8,9,9,12,24,3,0,9,9,13,9,33,55,Cruzeiro,Botafogo (RJ),0,0,,,,10,2019-07-14,16:00,96
20,16,5,10,18,22,471,640,14,13,8,6,23,23,22,13,2,2,16,11,25,18,66,48,Chapecoense,Atlético Mineiro,1,2,,,,10,2019-07-14,19:00,97
11,15,14,5,36,12,842,470,17,18,7,14,22,13,8,33,1,2,3,11,15,13,25,48,Fluminense,Ceará,1,1,,,,10,2019-07-15,20:00,98
25,22,3,2,13,10,560,655,14,16,9,8,12,16,14,7,4,1,4,9,17,13,45,36,Vasco da Gama,Fluminense,2,1,,,,11,2019-07-20,11:00,99
17,8,5,5,28,19,696,570,17,12,3,10,29,11,14,19,1,2,4,13,17,18,45,51,Bahia,Cruzeiro,0,0,,,,11,2019-07-20,17:00,100
14,14,1,2,14,5,582,737,18,20,8,5,19,24,12,17,0,0,9,7,13,16,62,62,Internacional,Grêmio,1,1,,,,11,2019-07-20,19:00,101
12,28,3,6,23,12,561,514,12,12,16,9,12,17,14,20,3,0,6,10,28,12,63,51,CSA,Atl Paranaense,0,4,,,,11,2019-07-20,19:00,102
26,13,3,9,11,28,467,578,13,19,5,8,17,22,30,14,1,1,11,4,12,20,55,51,Ceará,Palmeiras,2,0,,,,11,2019-07-20,19:00,103
12,14,9,2,31,13,598,599,11,12,6,10,14,14,18,20,1,1,8,5,15,14,40,45,Botafogo (RJ),Santos,0,1,,,,11,2019-07-21,11:00,104
15,12,3,2,16,19,579,535,14,8,7,7,20,12,12,15,0,0,4,16,15,16,46,48,Atlético Mineiro,Fortaleza,2,2,,,,11,2019-07-21,16:00,105
20,17,2,5,18,14,497,568,11,17,5,5,20,22,20,18,1,1,9,15,26,17,42,36,Corinthians,Flamengo,1,1,,,,11,2019-07-21,16:00,106
16,19,5,3,20,11,661,478,6,17,12,17,23,13,13,19,1,1,9,9,17,22,51,58,Avaí,Goiás,0,0,,,,11,2019-07-21,19:00,107
