player,shirt_number,nation,position,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,fouls_commited,fouls_drawn,offsides,crosses,tackles_on,interceptions,own_goals,penalty_kicks_won,penalty_kicks_conceded,team,match_id
Rômulo,13.0,br BRA,DM,90.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,Grêmio,211
Juninho Capixaba,29.0,br BRA,LB,90.0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,,,Grêmio,211
Rodrigues,38.0,br BRA,CB,90.0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,0,,,Grêmio,211
Paulo Miranda,28.0,br BRA,CB,90.0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,,,Grêmio,211
Léo Moura,2.0,br BRA,RB,86.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Grêmio,211
Guilherme,39.0,br BRA,FW,4.0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,,,Grêmio,211
Júlio César,22.0,br BRA,GK,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Grêmio,211
João Pedro,23.0,br BRA,FW,90.0,0,0,0,0,5,1,0,0,1,1,0,2,0,0,0,,,Fluminense,211
Yony González,11.0,co COL,LW,89.0,0,2,0,0,2,1,0,0,1,1,0,2,1,1,0,,,Fluminense,211
Marcos Paulo,32.0,br BRA,FW,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Fluminense,211
Daniel,20.0,br BRA,AM,74.0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,,,Fluminense,211
Orinho,22.0,br BRA,DF,16.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,Fluminense,211
Ganso,10.0,br BRA,AM,90.0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,0,,,Fluminense,211
Nenê,77.0,br BRA,RW,86.0,1,0,0,0,1,1,0,0,1,0,0,4,1,2,0,,,Fluminense,211
Wellington Nem,18.0,br BRA,"FW,MF",4.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,Fluminense,211
Allan,29.0,br BRA,DM,90.0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,,,Fluminense,211
Caio Henrique Oliveira Silva,19.0,br BRA,LB,90.0,1,0,0,0,1,1,0,0,1,1,0,3,2,1,0,,,Fluminense,211
