player,nation,minutes,shots_on_target,goals_againts,saves,save%,team,match_id
João Paulo,br BRA,90.0,4,2,2,0.5,Santos,123
Tadeu,br BRA,90.0,4,3,2,0.5,Goiás,123
Fernando Miguel,br BRA,90.0,5,4,3,0.6,Vasco da Gama,124
Éverson,br BRA,90.0,2,1,1,0.5,Atlético Mineiro,124
João Paulo,br BRA,90.0,4,1,3,0.75,Santos,125
Cássio,br BRA,90.0,2,1,1,0.5,Corinthians,125
Fernando Miguel,br BRA,90.0,6,3,3,0.5,Vasco da Gama,126
Douglas Friedrich,br BRA,90.0,1,0,1,1.0,Bahia,126
Luan Polli,br BRA,90.0,6,3,3,0.5,Sport Recife,127
Hugo Souza,br BRA,90.0,1,0,1,1.0,Flamengo,127
Wilson,br BRA,90.0,5,2,3,0.6,Coritiba,128
Vanderlei,br BRA,90.0,3,1,2,0.667,Grêmio,128
Maurício Kozlinski,br BRA,90.0,9,3,6,0.667,Atl Goianiense,129
Tiago Volpi,br BRA,90.0,5,0,5,1.0,São Paulo,129
Muriel Becker,br BRA,90.0,2,2,1,0.5,Fluminense,130
Tadeu,br BRA,90.0,5,4,1,0.2,Goiás,130
Éverson,br BRA,90.0,3,2,1,0.33299999999999996,Atlético Mineiro,131
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,131
Jailson,br BRA,90.0,4,2,2,0.5,Palmeiras,132
Diego Cavalieri,br BRA,90.0,2,1,2,0.5,Botafogo (RJ),132
Fernando Prass,br BRA,90.0,1,0,1,1.0,Ceará,133
Jandrei,br BRA,90.0,4,0,4,1.0,Atl Paranaense,133
Marcelo Lomba,br BRA,90.0,2,0,2,1.0,Internacional,134
Júlio César,br BRA,90.0,5,2,3,0.6,Bragantino,134
