Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16.0,Wed,2020-10-14,,Flamengo,,Bragantino,,Estadio Jornalista Mário Filho,,,
16.0,Wed,2020-10-14,,Atlético Mineiro,,Fluminense,,Estádio Raimundo Sampaio,,,
16.0,Wed,2020-10-14,,Palmeiras,,Coritiba,,Allianz Parque,,,
16.0,Wed,2020-10-14,,Sport Recife,,Internacional,,Estádio Adelmar da Costa Carvalho,,,
16.0,Wed,2020-10-14,,Atl Paranaense,,Corinthians,,Estádio Joaquim Américo Guimarães,,,
16.0,Wed,2020-10-14,,Goiás,,Bahia,,,,,
16.0,Wed,2020-10-14,,Grêmio,,Botafogo (RJ),,Arena do Grêmio,,,
16.0,Wed,2020-10-14,,Santos,,Atl Goianiense,,Estádio Urbano Caldeira,,,
16.0,Wed,2020-10-14,,Ceará,,São Paulo,,Estádio Castelão,,,
16.0,Wed,2020-10-14,,Vasco da Gama,,Fortaleza,,Estádio Club de Regatas Vasco da Gama,,,
,,,,,,,,,,,
17.0,Sun,2020-10-18,,Bragantino,,Sport Recife,,Estádio Nabi Abi Chedid,,,
17.0,Sun,2020-10-18,,São Paulo,,Grêmio,,Estádio do Morumbi,,,
17.0,Sun,2020-10-18,,Fortaleza,,Palmeiras,,Estádio Castelão,,,
17.0,Sun,2020-10-18,,Internacional,,Vasco da Gama,,Estádio José Pinheiro Borba,,,
17.0,Sun,2020-10-18,,Fluminense,,Ceará,,Estadio Jornalista Mário Filho,,,
17.0,Sun,2020-10-18,,Botafogo (RJ),,Goiás,,Estádio Nilton Santos,,,
17.0,Sun,2020-10-18,,Atl Goianiense,,Atl Paranaense,,Estádio Olímpico Pedro Ludovico Teixeira,,,
17.0,Sun,2020-10-18,,Corinthians,,Flamengo,,Arena Corinthians,,,
17.0,Sun,2020-10-18,,Bahia,,Atlético Mineiro,,Estádio Governador Roberto Santos,,,
17.0,Sun,2020-10-18,,Coritiba,,Santos,,Estádio Major Antônio Couto Pereira,,,
,,,,,,,,,,,
18.0,Sun,2020-10-25,,Internacional,,Flamengo,,Estádio José Pinheiro Borba,,,
18.0,Sun,2020-10-25,,Bragantino,,Goiás,,Estádio Nabi Abi Chedid,,,
18.0,Sun,2020-10-25,,Fluminense,,Santos,,Estadio Jornalista Mário Filho,,,
18.0,Sun,2020-10-25,,Ceará,,Coritiba,,Estádio Castelão,,,
18.0,Sun,2020-10-25,,São Paulo,,Botafogo (RJ),,Estádio do Morumbi,,,
18.0,Sun,2020-10-25,,Vasco da Gama,,Corinthians,,Estádio Club de Regatas Vasco da Gama,,,
18.0,Sun,2020-10-25,,Bahia,,Fortaleza,,Estádio Governador Roberto Santos,,,
18.0,Sun,2020-10-25,,Atl Paranaense,,Grêmio,,Estádio Joaquim Américo Guimarães,,,
18.0,Sun,2020-10-25,,Atlético Mineiro,,Sport Recife,,Estádio Raimundo Sampaio,,,
18.0,Sun,2020-10-25,,Atl Goianiense,,Palmeiras,,Estádio Olímpico Pedro Ludovico Teixeira,,,
,,,,,,,,,,,
19.0,Sun,2020-11-01,,Coritiba,,Atl Goianiense,,Estádio Major Antônio Couto Pereira,,,
19.0,Sun,2020-11-01,,Grêmio,,Bragantino,,Arena do Grêmio,,,
19.0,Sun,2020-11-01,,Botafogo (RJ),,Ceará,,Estádio Nilton Santos,,,
19.0,Sun,2020-11-01,,Corinthians,,Internacional,,Arena Corinthians,,,
19.0,Sun,2020-11-01,,Sport Recife,,Atl Paranaense,,Estádio Adelmar da Costa Carvalho,,,
19.0,Sun,2020-11-01,,Palmeiras,,Atlético Mineiro,,Allianz Parque,,,
19.0,Sun,2020-11-01,,Flamengo,,São Paulo,,Estadio Jornalista Mário Filho,,,
19.0,Sun,2020-11-01,,Santos,,Bahia,,Estádio Urbano Caldeira,,,
19.0,Sun,2020-11-01,,Fortaleza,,Fluminense,,Estádio Castelão,,,
19.0,Sun,2020-11-01,,Goiás,,Vasco da Gama,,,,,
,,,,,,,,,,,
20.0,Sun,2020-11-08,,Vasco da Gama,,Palmeiras,,Estádio Club de Regatas Vasco da Gama,,,
20.0,Sun,2020-11-08,,Atlético Mineiro,,Flamengo,,Estádio Raimundo Sampaio,,,
20.0,Sun,2020-11-08,,Internacional,,Coritiba,,Estádio José Pinheiro Borba,,,
20.0,Sun,2020-11-08,,Ceará,,Sport Recife,,Estádio Castelão,,,
20.0,Sun,2020-11-08,,Bragantino,,Santos,,Estádio Nabi Abi Chedid,,,
20.0,Sun,2020-11-08,,São Paulo,,Goiás,,Estádio do Morumbi,,,
20.0,Sun,2020-11-08,,Atl Goianiense,,Corinthians,,Estádio Olímpico Pedro Ludovico Teixeira,,,
20.0,Sun,2020-11-08,,Fluminense,,Grêmio,,Estadio Jornalista Mário Filho,,,
20.0,Sun,2020-11-08,,Bahia,,Botafogo (RJ),,Estádio Governador Roberto Santos,,,
20.0,Sun,2020-11-08,,Atl Paranaense,,Fortaleza,,Estádio Joaquim Américo Guimarães,,,
,,,,,,,,,,,
21.0,Sat,2020-11-14,,Grêmio,,Ceará,,Arena do Grêmio,,,
21.0,Sat,2020-11-14,,Fortaleza,,São Paulo,,Estádio Castelão,,,
21.0,Sat,2020-11-14,,Palmeiras,,Fluminense,,Allianz Parque,,,
21.0,Sat,2020-11-14,,Corinthians,,Atlético Mineiro,,Arena Corinthians,,,
21.0,Sat,2020-11-14,,Sport Recife,,Vasco da Gama,,Estádio Adelmar da Costa Carvalho,,,
21.0,Sat,2020-11-14,,Goiás,,Atl Paranaense,,,,,
21.0,Sat,2020-11-14,,Botafogo (RJ),,Bragantino,,Estádio Nilton Santos,,,
21.0,Sat,2020-11-14,,Coritiba,,Bahia,,Estádio Major Antônio Couto Pereira,,,
21.0,Sat,2020-11-14,,Flamengo,,Atl Goianiense,,Estadio Jornalista Mário Filho,,,
21.0,Sat,2020-11-14,,Santos,,Internacional,,Estádio Urbano Caldeira,,,
,,,,,,,,,,,
22.0,Sun,2020-11-22,,Flamengo,,Coritiba,,Estadio Jornalista Mário Filho,,,
22.0,Sun,2020-11-22,,São Paulo,,Vasco da Gama,,Estádio do Morumbi,,,
22.0,Sun,2020-11-22,,Bragantino,,Bahia,,Estádio Nabi Abi Chedid,,,
22.0,Sun,2020-11-22,,Corinthians,,Grêmio,,Arena Corinthians,,,
